CountyFIPS,house_worship_freq
21007,3
21017,21
21031,5
21065,17
21069,15
21093,78
21099,7
21131,4
21151,66
21155,7
21179,28
17091,95
17187,21
17197,375
18027,34
18061,36
01001,33
01005,21
01023,30
01035,14
01051,39
01055,78
01065,13
01089,247
01113,49
01117,125
02016,4
02130,21
02180,18
02282,1
05011,9
05015,41
05019,26
05025,4
05063,30
05067,11
05121,15
06001,1290
06003,2
06005,23
06013,789
06019,745
06023,93
06033,62
06037,9045
06047,165
06057,82
06081,448
06085,1216
06115,54
08013,235
08029,45
08049,9
08077,117
08083,31
08091,11
09009,548
11001,747
12009,451
12023,97
12039,81
12055,145
12065,25
12073,273
12095,1387
12107,120
12123,26
12127,455
12131,96
12133,39
13009,37
13027,25
13103,51
13121,918
13141,7
13149,5
13179,62
13183,8
13189,23
13209,12
13229,23
13267,25
13271,22
13291,36
13305,29
13319,15
15007,0
16015,9
16023,3
16025,1
16027,144
16037,3
16039,20
16043,6
16061,4
16063,3
16085,17
19175,14
20053,8
20095,11
20135,8
20199,3
48011,2
48025,24
48035,21
48053,33
48055,36
48083,6
29057,7
29143,22
29157,17
29189,955
29199,3
29207,42
30015,7
30023,7
30029,90
30039,4
30057,11
30071,12
30077,9
30085,18
30087,14
30105,11
31091,1
53065,59
21189,1
21195,41
21217,18
21237,7
21239,20
22001,28
22009,21
22011,31
22029,21
22031,28
22033,435
22047,25
22071,419
22081,6
22099,21
22119,36
23013,28
23015,23
24003,398
18103,38
18129,15
18147,18
19001,14
19045,35
19083,28
19111,21
31167,7
34003,714
34007,419
34013,817
34023,483
34041,62
35007,28
35011,4
35051,18
36013,126
36029,541
36043,37
36045,57
36047,4618
36053,38
36065,99
36077,40
36081,2112
36091,84
36115,40
37007,23
37027,52
37039,23
37049,94
37055,36
37059,24
37069,36
37083,55
37091,23
37093,45
37099,26
37111,26
37117,29
37127,99
37165,42
37175,29
37199,8
38017,112
38037,9
38085,1
38099,20
39035,1027
39039,50
39043,67
39125,18
40065,13
48103,2
48141,378
48151,3
48161,15
48167,241
48199,52
48213,83
48229,3
48241,47
48245,277
48261,0
48289,19
48317,3
48333,3
48347,48
48361,73
48371,14
48395,11
48423,287
48427,15
48457,27
48471,52
48475,16
48477,44
48499,48
49001,1
49003,6
49011,58
40073,21
40079,41
40145,78
41005,278
41021,1
41033,76
41035,64
41039,299
41043,117
41051,685
41055,3
41061,29
42005,70
42029,272
42035,20
42059,36
42067,23
42091,586
42111,85
45005,17
45019,343
45025,88
45043,76
45063,312
45077,154
45091,267
46073,5
46093,20
46095,4
46123,13
47001,37
47003,21
47005,12
47019,27
47029,17
47049,16
47063,37
47073,13
47081,12
47097,19
47121,0
47149,210
47173,7
48007,20
25001,111
25013,282
25025,497
26033,35
26053,16
26063,34
26097,11
26115,83
13283,7
13289,11
13313,79
13317,8
15001,0
15009,0
16059,10
16073,13
16083,66
16087,12
17027,19
17031,4116
17047,11
49029,0
49035,395
49043,9
49049,57
51015,45
51037,13
51051,9
51053,22
51069,50
51073,30
51085,91
51099,26
51125,17
51131,10
51137,30
51145,24
51149,20
51161,77
51177,90
51185,59
51199,41
53005,121
53007,68
53009,59
53015,92
53025,63
53031,32
53037,34
53043,10
12077,15
05061,13
05093,43
05095,11
05099,10
05103,31
05109,8
05117,5
05133,14
05147,7
06045,68
06051,8
24011,32
24033,1436
24043,173
25007,15
25017,771
26041,29
26099,348
26103,42
26135,4
26147,79
26163,1573
27023,18
27053,984
27077,7
27091,25
27129,27
27139,47
27163,145
28007,12
28033,89
28055,1
28075,79
28143,4
28157,10
28163,17
29023,49
29029,33
29031,85
29033,8
17075,36
17129,13
17161,101
17175,2
17185,13
18009,12
18035,118
18067,106
18083,40
18159,21
18175,24
49025,5
05003,18
05007,212
05013,4
05045,73
13051,236
13077,121
13123,34
13133,17
13137,42
13139,165
13143,23
13157,46
13171,16
13181,17
13185,114
13195,23
13213,22
13217,76
13237,26
13245,205
13251,25
13269,10
13279,31
23023,19
23031,71
24001,90
24005,733
24017,189
24021,217
24031,915
24045,101
28149,35
28151,42
29041,10
29069,35
29087,8
29113,31
29159,32
29183,190
29195,23
29197,9
29201,36
30001,9
30013,64
30027,9
30031,85
30045,4
30049,64
30055,6
30059,2
30069,1
30073,8
30083,12
30099,8
31103,3
31151,12
32001,15
32003,918
32015,9
33007,19
33015,109
33017,48
34001,192
34005,374
34015,168
34019,63
34021,300
34025,357
34029,573
34035,178
21229,3
21231,11
22035,6
22045,42
22053,17
22055,119
06055,77
06059,2622
06069,33
06073,2158
06079,235
06083,347
06097,310
06101,63
06107,321
06113,117
08019,6
08023,2
08031,537
08037,32
08055,11
01049,41
01063,14
01087,16
01091,21
01095,46
01101,181
01107,22
01115,45
01119,13
01131,13
02090,102
02158,6
02240,14
04005,105
04009,25
04013,2314
54001,15
54005,17
54021,5
54039,184
54045,15
54047,55
54063,11
54067,18
54087,4
54107,72
55003,19
55043,47
55113,16
56029,33
12086,2015
12093,48
12097,297
13021,200
13029,23
39137,19
39175,18
40013,28
40027,186
40057,3
40067,5
40075,12
40095,15
40125,56
40135,35
40143,949
27011,8
27013,50
27031,12
27061,43
27073,18
27075,14
27089,22
27097,30
27127,23
27161,17
27171,78
28001,27
28011,27
28029,21
28043,19
28083,18
28087,58
28103,22
28121,87
35015,60
35039,41
35045,120
35055,42
36025,44
36031,29
36103,798
36105,95
36119,569
36123,16
37009,15
37013,64
37017,32
37023,55
37037,35
37043,8
37053,11
37057,113
37065,78
37075,3
37085,86
37089,108
37095,8
37103,8
37115,20
37123,23
28141,8
42099,34
42103,32
42127,28
42133,290
48411,8
48429,9
48449,36
48453,728
48455,9
48467,54
48473,45
48479,87
49033,1
49045,15
49047,10
49051,6
50017,21
50027,43
51007,15
51017,6
51019,50
51023,31
51033,28
51036,6
51041,290
51057,16
51067,40
51083,47
51091,1
51095,34
51107,172
51111,8
51127,14
51133,14
51143,65
51159,13
51165,51
51175,23
51179,103
51187,36
53047,50
53049,37
53053,626
53061,555
53071,41
53073,197
54013,3
54017,13
54019,44
54023,13
54027,27
54033,67
54037,43
54043,11
54065,10
54071,8
54081,56
54093,10
54095,5
37133,90
37137,19
37149,23
37153,64
37161,50
37163,73
37177,4
38005,9
38033,5
38053,19
38059,29
38067,15
38071,14
22067,25
22069,43
22079,112
22097,37
22107,3
22113,23
22117,20
22123,10
23007,15
08065,5
08071,19
08093,17
08105,14
08113,6
09001,552
09007,94
09011,143
10005,155
12033,332
12037,15
12041,23
12047,16
12053,143
12071,501
19009,9
19027,20
19075,12
19113,125
19147,19
19195,10
20069,19
20143,11
20181,8
21005,18
21025,22
21029,43
21033,10
21043,22
21049,42
21063,3
21071,30
21085,11
21097,16
21109,10
21119,7
21125,25
21135,9
21139,7
21153,16
21159,6
21167,18
21181,4
21183,14
21193,21
21197,15
21205,25
54109,16
55023,15
55037,3
55051,6
55069,26
55075,35
55111,49
41007,39
41017,145
41019,124
41065,28
42003,706
42027,94
42033,80
42041,189
42045,369
42051,108
42061,42
42071,355
42089,101
42095,179
51063,15
51087,245
53077,183
45027,61
45047,87
01043,35
45029,69
45071,58
46067,16
01033,28
02050,13
04007,42
05039,7
06039,114
08043,50
12013,21
12069,347
12129,36
13219,44
16035,16
16069,41
17153,11
18071,37
19087,17
21003,14
21051,11
21165,5
46085,8
47057,1
02195,6
06009,40
08097,11
13007,8
21055,6
22017,258
22115,26
26137,11
29019,120
30005,10
37029,10
40089,32
41023,12
46117,2
47091,7
39047,18
39061,675
39095,362
45055,75
45059,117
45069,30
45073,127
45083,379
45089,59
46009,8
06043,24
06095,324
08035,191
10003,480
12079,35
12113,120
13001,20
13079,10
13135,902
13311,31
47107,34
47117,11
47123,23
47143,26
47151,8
47155,81
47157,834
47165,119
47167,45
47185,19
47189,90
48001,57
48005,77
48029,1048
48037,79
48043,16
48051,21
48057,21
48067,31
48091,109
48109,1
48119,3
48173,0
48187,97
48205,4
48215,439
48225,37
48263,2
48273,22
48287,15
48301,0
48311,0
48315,15
48339,357
48343,18
48349,49
48373,44
48377,5
48383,4
48405,12
48407,24
46041,8
46071,3
46075,2
46079,12
46127,11
47013,17
47021,16
47031,32
47035,34
47037,587
47041,4
47065,303
47089,15
56003,12
56013,31
56031,9
56035,9
01041,15
02100,5
04001,50
05001,19
05029,17
05057,26
39115,19
40113,53
41015,27
42049,196
42101,1400
45009,30
45057,121
45087,39
47025,8
47053,43
47135,6
47163,102
48089,26
48135,91
48203,76
48323,22
48351,18
48379,7
48409,51
48465,28
49007,15
49019,11
51005,19
51029,32
51089,69
51141,39
51193,13
53011,312
53045,35
54025,43
55001,11
08027,10
08051,17
05041,16
13261,34
18179,31
22111,8
23003,60
40133,34
35019,3
37105,47
37125,83
19035,14
20033,6
20149,28
21027,12
21147,11
21175,12
22005,63
22015,76
22025,8
22037,20
22091,10
22109,64
24029,25
24047,47
26055,62
27015,22
27167,9
28051,21
29013,14
29095,711
30053,28
35033,4
36059,1092
38003,24
38055,24
40055,7
40117,14
42043,240
42097,72
45015,182
45067,48
47009,63
47129,7
48065,5
48157,548
12057,1182
12089,80
13025,17
39167,57
40023,13
18007,12
18051,28
18123,13
20083,2
20203,3
21079,11
21123,14
21209,33
22065,3
22105,92
23025,23
26007,21
28017,19
48419,24
54083,22
06063,24
48129,7
48313,15
53027,78
54059,27
05119,403
06093,67
02170,103
13075,23
25005,208
13303,31
17017,12
22043,10
22127,13
10001,147
12075,49
27021,38
28089,66
29227,2
30043,14
30081,49
34027,265
36075,56
37021,220
37107,65
37145,15
37193,49
40141,9
41031,21
41047,260
27087,9
27173,25
28109,28
29027,27
30009,14
30033,1
31033,20
34031,373
35017,41
36009,60
36061,1247
36071,360
37015,22
37101,158
37131,14
37159,147
37183,752
13201,3
13265,3
44009,74
45003,203
45007,256
45017,26
45035,142
45041,193
45045,606
45051,295
30007,6
30093,19
37051,322
37139,25
45061,25
46055,5
47045,30
47127,2
51081,13
51105,19
51195,32
54007,7
54099,16
42031,42
01009,31
01047,41
05073,9
06027,30
06053,239
06099,387
08111,0
12045,28
12105,718
12121,64
16041,1
16079,19
18021,29
48175,8
48503,25
51113,13
53033,1496
53057,101
06091,5
18125,17
26003,7
27103,22
01039,30
01061,22
01075,7
04011,7
01013,14
01015,85
21235,26
22057,38
24023,38
26013,8
26071,16
47145,32
47183,17
48041,123
48079,6
48341,21
49005,17
49023,1
51103,16
51157,11
53019,9
53075,37
55011,13
56033,34
56039,16
05085,43
06089,168
08005,507
08033,3
01073,561
01129,22
02290,9
42131,10
45021,98
27137,172
28021,16
28053,7
28137,20
30003,12
30035,5
30061,7
30089,20
31009,5
32033,3
34009,69
36017,18
37019,62
37047,36
37079,19
37147,159
37173,12
45065,10
46003,5
47055,16
47085,22
05145,60
13107,23
16007,1
47119,63
47147,49
48015,41
48277,57
48391,7
48469,61
49057,81
51003,68
51031,54
51059,733
51121,72
51155,42
53067,165
54031,14
54057,27
54085,7
55007,13
55057,30
55121,24
41003,72
42023,8
42055,146
44007,388
21203,6
05017,8
13215,206
13301,9
16013,17
16031,12
17125,19
24015,54
24039,29
17007,23
18053,92
20065,8
21011,16
21067,230
21101,23
21133,19
22077,15
22103,161
08069,277
12029,33
27067,56
27119,51
20067,15
21089,27
26089,18
26141,11
32031,225
38097,19
47105,35
13309,6
17003,13
17189,11
19003,6
19163,122
20195,5
21187,10
22063,65
22101,45
08117,18
12007,40
13031,56
39123,31
40101,82
27069,12
27107,24
27145,82
28049,285
29171,1
30075,3
32011,1
34033,72
36113,37
37031,44
37113,35
38035,50
39055,44
46023,11
47093,280
01071,20
13019,7
48061,252
48185,22
48239,14
06011,13
16029,5
01021,26
01027,5
01029,4
04023,23
01093,23
05053,10
01103,71
01133,12
02070,6
02110,40
02150,19
02220,11
02261,19
48389,6
49017,1
51093,28
51171,55
53021,61
53055,13
05069,62
05107,19
06041,188
06077,513
08001,298
01059,19
01097,364
48283,4
48401,61
48459,34
49037,8
51027,15
51101,19
51147,21
51191,41
54003,71
54041,7
42017,310
05043,11
05049,7
02020,312
04021,196
13113,146
13151,251
13191,16
23027,16
24027,263
05135,17
09005,83
09013,65
12115,323
05101,22
05105,10
05115,80
05005,33
05009,47
08021,3
08039,26
08059,391
01037,5
08073,9
08101,107
08121,5
08125,14
05077,9
01017,36
05129,7
13063,270
13159,20
06031,87
06035,23
06075,619
08003,11
08015,24
13003,6
12035,79
12059,50
12087,69
12109,175
12111,297
05149,22
06021,31
06025,101
06061,262
06109,58
13117,101
13169,18
13197,9
17067,23
17183,63
13059,89
13069,50
13083,9
17053,15
13145,45
13023,14
13037,8
13053,7
17073,38
17097,355
17059,4
17063,22
13093,17
16051,3
16065,1
13111,30
13243,11
13257,43
17011,36
17015,24
18099,33
18101,15
13287,14
13295,69
15003,0
16009,10
18003,384
17149,17
17159,14
17107,24
17115,107
17121,45
17131,17
17135,36
17145,35
13233,41
13239,3
18031,31
18037,22
18041,28
18055,32
18065,49
18075,16
18085,81
18091,91
18109,72
16019,38
16021,20
16045,14
17029,43
18181,27
19007,13
19017,27
19025,14
18095,160
18097,1009
17173,27
17177,43
16075,19
17005,21
19103,64
19117,9
19127,44
19131,15
20105,5
20109,4
20111,28
20113,61
19135,4
19041,13
18017,29
20049,6
20057,30
18115,3
18119,24
18121,14
20091,408
20097,12
20101,2
19049,58
18133,34
18157,115
18111,12
17021,29
19159,7
19165,13
20063,2
20073,19
20077,11
20085,9
19169,54
19189,28
20001,27
20009,41
20015,71
20025,3
20029,14
20043,9
40045,9
48309,195
48337,18
48355,231
51720,4
51740,75
18143,28
18171,5
18177,77
19097,11
19141,26
19055,11
19073,14
19079,14
40041,50
46111,6
51810,255
20087,9
20089,6
46109,15
46121,11
53051,16
53059,13
54011,74
23011,60
24019,29
38103,13
30101,5
31003,8
48275,4
31029,9
24025,176
24035,28
25009,302
26015,46
38045,6
38051,8
38095,5
38101,49
25003,65
25011,46
25021,289
26159,70
26165,32
40151,19
42073,76
42083,52
48441,113
48451,93
55123,40
47115,17
47125,94
51153,324
46015,6
46035,14
46039,8
46049,7
51075,18
45001,39
48045,1
51181,7
29005,7
29009,34
39159,43
31171,3
48145,16
36057,43
36067,251
39105,30
27153,31
27157,22
28013,6
26023,37
37001,131
55077,13
29203,8
29133,17
29149,10
31031,11
31035,9
31037,7
38027,11
13205,28
13315,15
16033,1
17043,528
47101,5
48385,7
48399,10
55085,29
40131,69
48093,8
36019,26
31051,11
41025,9
47087,7
28023,23
48485,99
48489,19
50025,35
21075,8
21083,24
26027,34
30067,22
30095,14
36073,32
48049,43
48069,5
13273,7
45081,32
46005,24
46011,37
29021,64
29035,6
26037,37
26051,26
40001,14
40005,15
40033,4
08053,1
12031,1144
12119,66
13073,102
55105,106
55119,19
41011,72
51079,12
32013,11
27095,24
27101,19
27109,108
27125,6
54049,56
54073,6
55067,22
55073,105
17137,34
42121,72
44001,19
48107,5
39099,212
39103,93
32009,0
41027,25
41049,11
48507,6
49009,0
49021,10
56041,10
51011,30
51025,21
21045,17
21113,55
21141,20
41059,70
40017,102
56045,8
23019,71
51043,16
48251,154
51135,17
22095,29
22125,15
26061,30
48231,84
48279,9
04003,134
29081,15
31023,16
37189,49
38007,1
51630,33
42013,106
42117,42
26065,204
29167,26
19191,29
29085,13
40035,18
49027,4
50009,4
47139,12
47153,4
48497,56
13223,93
55127,81
56001,33
56005,25
21201,0
20023,7
47169,3
50019,16
48413,4
46059,4
46063,3
46077,10
46087,6
46089,5
56015,19
47177,18
48017,4
48131,8
48143,32
42011,233
42019,124
42105,24
42115,20
